stars_rating	title
8.2	Gone with the Wind
8.1	Solaris
7.6	127 Hours
7.9	Taken
7.7	Y Tu Mama Tambien
7.6	Christmas Vacation
8	Ghost in the Shell
7.8	Captain America: The Winter Soldier
7.4	Bound
8.3	Ikiru
7.9	Nine Queens
8.1	Paris, Texas
8.1	La Dolce Vita
8.4	Singin" in the Rain
7.8	The Best Offer
7.5	Gangs of New York
7.8	What"s Eating Gilbert Grape
8.5	The Shining
7.4	Master and Commander: The Far Side of the World
8.3	Batman Begins
7.6	Ice Age
7.7	Billy Elliot
8	Night of the Living Dead
7.6	Sherlock Holmes
7.5	Scott Pilgrim vs. the World
8.1	In the Mood for Love
8.1	The King"s Speech
7.4	Driving Miss Daisy
7.6	The Man Who Wasn"t There
7.8	Kramer vs. Kramer
8.7	Se7en
7.9	The Fighter
7.7	MASH
7.8	Nebraska
8.3	Full Metal Jacket
8.1	The Night of the Hunter
7.5	Across the Universe
8.2	Nausicaa of the Valley of the Wind
7.5	Reign Over Me
7.5	Good Night, and Good Luck.
7.8	Willy Wonka & the Chocolate Factory
7.9	The Bourne Identity
7.7	Love Me If You Dare
7.6	Fried Green Tomatoes
7.7	50/50
7.5	Sweeney Todd: The Demon Barber of Fleet Street
7.6	Lust, Caution
8.1	Papillon
7.5	In the Bedroom
8.1	The Return
7.4	Much Ado About Nothing
7.9	Blue Is the Warmest Color
8.1	All Quiet on the Western Front
8.1	The Grand Budapest Hotel
7.6	A Fish Called Wanda
7.7	Close Encounters of the Third Kind
7.5	The Painted Veil
7.7	Star Trek II: The Wrath of Khan
7.7	Despicable Me
7.6	The Illusionist
7.6	The Impossible
8.7	Star Wars
7.9	The Fall
8.4	Requiem for a Dream
7.6	The Omen
7.9	The Killer
8	Before Midnight
7.7	Blow-Up
7.5	A Nightmare on Elm Street
7.9	The Killing Fields
7.6	Disconnect
7.9	Ferris Bueller"s Day Off
7.9	Stagecoach
7.9	The Breakfast Club
7.8	Black Book
7.6	The Fifth Element
8.1	Strangers on a Train
7.5	The Adventures of Priscilla, Queen of the Desert
8.6	Raiders of the Lost Ark
8.3	The Apartment
7.7	The Last Samurai
7.9	Iron Man
8.8	The Lord of the Rings: The Fellowship of the Ring
8.5	Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
7.9	A Prophet
7.7	The Station Agent
7.9	The Ten Commandments
7.5	Fruitvale Station
7.8	Skyfall
7.8	In America
7.8	Moonrise Kingdom
8.3	The Seventh Seal
8	Three Colors: Blue
7.9	Miracle on 34th Street
7.5	Harry Potter and the Half-Blood Prince
7.8	Breakfast at Tiffany"s
